"","ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","ACCIDENT_TYPE","Accident Type Desc","DAY_OF_WEEK","Day Week Description","ROAD_GEOMETRY","Road Geometry Desc","SPEED_ZONE","SEVERITY","VEHICLE_TYPE","Vehicle Type Desc","LGA_NAME","LGA_NAME_ALL","Lat","Long","POSTCODE_NO","ROAD_NAME","ROAD_TYPE","ROAD_TYPE_INT","DISTANCE_LOCATION","YEAR","sev_desc"
"243188","T20150000067",2015-01-01,18:10:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","777",3,"13","Bicycle","GEELONG","GEELONG",-38.11077182,144.6419289,3223,"ANGLERS","ROAD","AVENUE",16,2015,"Other injury accident"
"243207","T20150000093",2015-01-02,12:05:00,8,"No collision and no object struck",6,"Friday",1,"Cross intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81254531,144.9651824,3000,"LITTLE BOURKE","STREET","STREET",0,2015,"Other injury accident"
"243212","T20150000096",2015-01-02,16:55:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE,PORT PHILLIP",-37.84314893,144.9780647,3004,"ST KILDA","ROAD","STREET",25,2015,"Other injury accident"
"243273","T20150000156",2015-01-02,21:00:00,6,"Vehicle overturned (no collision)",6,"Friday",2,"T intersection","060",3,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.81550739,145.1034205,3127,"WHITEHORSE","ROAD","STREET",7,2015,"Other injury accident"
"243302","T20150000184",2015-01-04,09:25:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","060",2,"13","Bicycle","NILLUMBIK","NILLUMBIK",-37.71679679,145.1468131,3095,"MAIN","ROAD","PLACE",33,2015,"Serious injury accident"
"243329","T20150000208",2015-01-04,17:30:00,1,"Collision with vehicle",1,"Sunday",1,"Cross intersection","050",2,"13","Bicycle","BOROONDARA","BOROONDARA",-37.83092043,145.0527894,3123,"RIVERSDALE","ROAD","ROAD",0,2015,"Serious injury accident"
"243342","T20150000221",2015-01-04,19:50:00,1,"Collision with vehicle",0,"Sunday",1,"Cross intersection","060",3,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.8259891,144.8809601,3015,"WEST GATE OUT-MELBOURNE","RAMP","ROAD",0,2015,"Other injury accident"
"243385","T20150000270",2015-01-05,17:00:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.8150933,144.9679015,3000,"COLLINS","STREET","PLACE",55,2015,"Other injury accident"
"243414","T20150000299",2015-01-06,10:55:00,1,"Collision with vehicle",2,"Tuesday",2,"T intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81336988,144.9683604,3000,"RUSSELL","STREET","LANE",6,2015,"Other injury accident"
"243430","T20150000313",2015-01-02,13:30:00,1,"Collision with vehicle",5,"Friday",1,"Cross intersection","060",3,"13","Bicycle","DAREBIN","DAREBIN",-37.70393947,145.0167242,3073,"CHEDDAR","ROAD","STREET",0,2015,"Other injury accident"
"243439","T20150000320",2015-01-04,23:30:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","050",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.83307718,144.9690187,3205,"PARK","STREET","STREET",31,2015,"Other injury accident"
"243479","T20150000353",2015-01-06,17:10:00,4,"Collision with a fixed object",3,"Tuesday",5,"Not at intersection","999",3,"13","Bicycle","CASEY","CASEY",-38.01357011,145.3092709,3805,"NARRE WARREN NORTH","ROAD","DRIVE",34,2015,"Other injury accident"
"243509","T20150000381",2015-01-07,11:45:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE,PORT PHILLIP",-37.83456503,144.9744464,3004,"ST KILDA","ROAD","CRESCENT",0,2015,"Other injury accident"
"243531","T20150000388",2015-01-07,10:00:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","060",2,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.36117012,144.88542,3940,"POINT NEPEAN","ROAD","TRACK",4,2015,"Serious injury accident"
"243566","T20150000415",2015-01-07,19:00:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",3,"13","Bicycle","GEELONG","GEELONG",-38.1273845,144.3500146,3214,"GUTHRIE","AVENUE","PARADE",0,2015,"Other injury accident"
"243589","T20150000438",2015-01-08,08:20:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","MORELAND","MORELAND",-37.75127566,144.9741913,3058,"RENNIE","STREET","AVENUE",31,2015,"Other injury accident"
"243706","T20150000526",2015-01-09,07:55:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","050",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88939256,145.0235895,3162,"ALMOND","STREET","STREET",0,2015,"Other injury accident"
"243711","T20150000529",2015-01-08,15:25:00,1,"Collision with vehicle",5,"Thursday",4,"Multiple intersection","999",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80171887,144.9574033,3000,"ELIZABETH","STREET","STREET SERVICE ROAD",0,2015,"Serious injury accident"
"243725","T20150000542",2015-01-08,19:00:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.86463123,144.985873,3182,"ST KILDA","ROAD","STREET",0,2015,"Other injury accident"
"243754","T20150000572",2015-01-09,15:20:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","050",3,"13","Bicycle","BAYSIDE","BAYSIDE",-37.90620571,145.0075813,3186,"BAY","STREET","STREET",39,2015,"Other injury accident"
"243773","T20150000589",2015-01-09,20:45:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","050",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.81629573,144.8874195,3013,"ANDERSON","STREET","STREET",0,2015,"Other injury accident"
"243789","T20150000599",2015-01-10,00:30:00,8,"No collision and no object struck",7,"Saturday",2,"T intersection","070",3,"13","Bicycle","MONASH","MONASH",-37.90110006,145.1619296,3150,"SPRINGVALE","ROAD","DRIVE",0,2015,"Other injury accident"
"243862","T20150000688",2015-01-11,13:20:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","050",2,"13","Bicycle","WHITEHORSE","WHITEHORSE",-37.81832174,145.1728622,3131,"WHITEHORSE","ROAD","ROAD",28,2015,"Serious injury accident"
"243890","T20150000725",2015-01-09,07:25:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","040",3,"13","Bicycle","MAROONDAH","MAROONDAH",-37.7969094,145.2809358,3136,"MAIN","STREET","STREET",104,2015,"Other injury accident"
"243900","T20150000735",2015-01-12,07:45:00,1,"Collision with vehicle",2,"Monday",4,"Multiple intersection","050",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.82662808,144.9723797,3004,"ANZAC","AVENUE","AVENUE",0,2015,"Serious injury accident"
"243902","T20150000737",2015-01-12,07:15:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","060",3,"13","Bicycle","KNOX","KNOX",-37.86502995,145.3185799,3154,"MOUNTAIN","HIGHWAY","AVENUE",196,2015,"Other injury accident"
"243906","T20150000740",2015-01-12,10:30:00,1,"Collision with vehicle",1,"Monday",2,"T intersection","060",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.35327422,144.9140923,3939,"POINT NEPEAN","ROAD","AVENUE",0,2015,"Other injury accident"
"243950","T20150000780",2015-01-12,17:25:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.85917445,145.0013338,3183,"DANDENONG","ROAD","ROAD",0,2015,"Other injury accident"
"243952","T20150000782",2015-01-12,18:00:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.7419299,144.966489,3058,"SYDNEY","ROAD","STREET",69,2015,"Other injury accident"
